day,time,Time,type,theme,nbr likes,nbr share,nbr comment,eng,total.eng
Thursday,14:58,14h-17h,text+link,Administration,44,6,8,58,Engagement intermédiaire
Tuesday,14:28,14h-17h,text+link,Administration,35,4,8,47,Engagement intermédiaire
Saturday,14:18,14h-17h,link,Identite,62,0,8,70,Engagement intermédiaire
Monday,23:22,Après 19h,text+link,Identite,171,10,8,189,Engagement fort
Sunday,10:25,9h-11h,text+link ,Identite,385,23,8,416,Engagement très fort
Thursday,8:47,Avant 9h,text+link,Identite,71,4,7,82,Engagement fort
Wednesday,0:54,Avant 9h,video,Identite,94,4,7,105,Engagement fort
Thursday,10:55,9h-11h,text+link+photo,Identite,44,1,6,51,Engagement intermédiaire
Wednesday,13:21,11h-14h,text+link,Administration,28,6,6,40,Engagement intermédiaire
Tuesday,16:50,14h-17h,text+link,Administration,91,6,6,103,Engagement fort
Tuesday,7:53,Avant 9h,text+video,Information,55,3,6,64,Engagement intermédiaire
Monday,1:46,Avant 9h,text+link,Administration,71,6,6,83,Engagement fort
Tuesday,13:18,11h-14h,text+link,Identite,180,7,6,193,Engagement fort
Monday,16:21,14h-17h,text+link,Administration,32,3,5,40,Engagement intermédiaire
Friday,15:42,14h-17h,text+link,Recherche,79,4,5,88,Engagement fort
Thursday,12:38,11h-14h,text+link,Identite,28,0,5,33,Engagement intermédiaire
Sunday,19:53,Après 19h,video,Information,149,14,5,168,Engagement fort
Tuesday,16:40,14h-17h,text+photo,Identite,40,3,5,48,Engagement intermédiaire
Monday,12:39,11h-14h,text+link,Administration,41,0,4,45,Engagement intermédiaire
Wednesday,23:20,Après 19h,text+link,Relation,113,5,4,122,Engagement fort
Wednesday,10:47,9h-11h,text+link,Identite,73,13,4,90,Engagement fort
Thursday,11:09,11h-14h,text+link,Information,76,5,4,85,Engagement fort
Thursday,10:15,9h-11h,text+link,Administration,50,8,4,62,Engagement intermédiaire
Tuesday,22:32,Après 19h,text+link,Identite,74,5,4,83,Engagement fort
Tuesday,8:48,Avant 9h,text+photo,Identite,80,4,4,88,Engagement fort
Saturday,12:11,11h-14h,text+photo ,Administration,218,14,4,236,Engagement très fort
Tuesday,5:16,Avant 9h,text+video,Recherche,25,3,3,31,Engagement intermédiaire
Thursday,13:05,11h-14h,text+link,Administration,48,2,3,53,Engagement intermédiaire
Saturday,11:44,11h-14h,text+link,Administration,33,1,3,37,Engagement intermédiaire
Tuesday,8:27,Avant 9h,text+link+photo,Administration,21,3,3,27,engagement faible
Monday,13:03,11h-14h,text+link,Administration,19,2,3,24,engagement faible
Thursday,22:19,Après 19h,text+link,Education,31,2,3,36,Engagement intermédiaire
Friday,11:00,9h-11h,text+link,Administration,44,1,3,48,Engagement intermédiaire
Wednesday,9:20,9h-11h,text+link,Education,32,5,3,40,Engagement intermédiaire
Saturday,11:00,9h-11h,text+link,Administration,44,2,3,49,Engagement intermédiaire
Monday,17:15,17h-19h,text+link,Administration,20,1,3,24,engagement faible
Wednesday,15:00,14h-17h,text+link,Administration,41,6,3,50,Engagement intermédiaire
